type,blender,japanese,english
PHYSICS,000_LowerBody,下半身,lower body
PHYSICS,001_UpperBody,上半身,upper body
PHYSICS,002_UpperBody2,上半身2,upper body2
PHYSICS,003_Neck,首,neck
PHYSICS,004_LeftShoulder,左肩,shoulder_L
PHYSICS,005_LeftArm,左腕,arm_L
PHYSICS,006_RightShoulder,右肩,shoulder_R
PHYSICS,007_RightArm,右腕,arm_R
PHYSICS,008_RightLeg,右足,leg_R
PHYSICS,009_LeftLeg,左足,leg_L
PHYSICS,010_LeftKnee,左ひざ,knee_L
PHYSICS,011_RightKnee,右ひざ,knee_R
PHYSICS,012_Head,頭,head
PHYSICS,013_RightB1,右B1,RightB1
PHYSICS,014_RightB1+,右B1+,RightB1+
PHYSICS,015_RightB2,右B2,RightB2
PHYSICS,016_RightB2+,右B2+,RightB2+
PHYSICS,017_RightB3,右B3,RightB3
PHYSICS,018_RightB3+,右B3+,RightB3+
PHYSICS,019_RightB4,右B4,RightB4
PHYSICS,020_RightB4+,右B4+,RightB4+
PHYSICS,021_RightB5,右B5,RightB5
PHYSICS,022_RightB5+,右B5+,RightB5+
PHYSICS,023_LeftB1,左B1,LeftB1
PHYSICS,024_LeftB1+,左B1+,LeftB1+
PHYSICS,025_LeftB2,左B2,LeftB2
PHYSICS,026_LeftB2+,左B2+,LeftB2+
PHYSICS,027_LeftB3,左B3,LeftB3
PHYSICS,028_LeftB3+,左B3+,LeftB3+
PHYSICS,029_LeftB4,左B4,LeftB4
PHYSICS,030_LeftB4+,左B4+,LeftB4+
PHYSICS,031_LeftB5,左B5,LeftB5
PHYSICS,032_LeftB5+,左B5+,LeftB5+
PHYSICS,033_Mbang1,Mbang1,Mbang1
PHYSICS,034_Rightbang1,右bang1,Rightbang1
PHYSICS,035_Leftbang1,左bang1,Leftbang1
PHYSICS,036_RightBangside0,右Bangside0,RightBangside0
PHYSICS,037_RightBangside1,右Bangside1,RightBangside1
PHYSICS,038_LeftBangside0,左Bangside0,LeftBangside0
PHYSICS,039_LeftBangside1,左Bangside1,LeftBangside1
PHYSICS,040_Rightfoxyears,右foxyears,Rightfoxyears
PHYSICS,041_Leftfoxyears,左foxyears,Leftfoxyears
PHYSICS,042_Rightpony 0,右pony 0,Rightpony 0
PHYSICS,043_Rightpony 1,右pony 1,Rightpony 1
PHYSICS,044_Leftpony 0,左pony 0,Leftpony 0
PHYSICS,045_Leftpony 1,左pony 1,Leftpony 1
PHYSICS,046_Middlepony 0,中pony 0,Middlepony 0
PHYSICS,047_Middlepony 1,中pony 1,Middlepony 1
PHYSICS,048_Skirt_0_0,スカート_0_0,Skirt_0_0
PHYSICS,049_Skirt_0_1,スカート_0_1,Skirt_0_1
PHYSICS,050_Skirt_0_2,スカート_0_2,Skirt_0_2
PHYSICS,051_Skirt_0_3,スカート_0_3,Skirt_0_3
PHYSICS,052_Skirt_0_4,スカート_0_4,Skirt_0_4
PHYSICS,053_Skirt_0_5,スカート_0_5,Skirt_0_5
PHYSICS,054_Skirt_0_6,スカート_0_6,Skirt_0_6
PHYSICS,055_Skirt_0_7,スカート_0_7,Skirt_0_7
PHYSICS,056_Skirt_0_8,スカート_0_8,Skirt_0_8
PHYSICS,057_Skirt_0_9,スカート_0_9,Skirt_0_9
PHYSICS,058_Skirt_0_10,スカート_0_10,Skirt_0_10
PHYSICS,059_Skirt_0_11,スカート_0_11,Skirt_0_11
PHYSICS,060_Skirt_1_0,スカート_1_0,Skirt_1_0
