type,blender,japanese,english
DISPLAY,mmd_shadow,mmd_shadow,
DISPLAY,mmd_dummy,mmd_dummy,
DISPLAY,Root,Root,
DISPLAY,IK,IK,
DISPLAY,Center,Center,
DISPLAY,体(上),体(上),
DISPLAY,Hair,Hair,
DISPLAY,Arm,Arm,
DISPLAY,指,指,
DISPLAY,体(下),体(下),
DISPLAY,Leg,Leg,
MORPH,toonAdjustment,toonAdjustment,Toon Adjust
MORPH,toon暗(赤),toon暗(赤),Toon [R]
MORPH,toon暗(緑),toon暗(緑),Toon [G]
MORPH,toon暗(青),toon暗(青),Toon [B]
MORPH,スフィアOff,スフィアOff,Spa Off
MORPH,Pony Hairs Hide,Pony Hairs Hide,Pony Hairs Hide
MORPH,Legs Open,Legs Open,Legs Open
MORPH,Legs Closed,Legs Closed,Legs Closed
MORPH,Arms T Shape,Arms T Shape,Arms T Shape
MORPH,Arms A Shape,Arms A Shape,Arms A Shape
MORPH,Model Up,Model Up,Model Up
MORPH,Arms Front,Arms Front,Arms Front
MORPH,Arms Back,Arms Back,Arms Back
MORPH,Hips Fix,Hips Fix,Hips Fix
MORPH,あ,あ,a
MORPH,い,い,i
MORPH,う,う,u
MORPH,え,え,e
MORPH,お,お,o
MORPH,∧,∧,No
MORPH,にっこり,にっこり,Smiley
MORPH,口横広げ,口横広げ,Wide
MORPH,upperlip,upperlip,upperlip
MORPH,smooch,smooch,smooch
MORPH,lowerlip,lowerlip,lowerlip
MORPH,smile,smile,smile
MORPH,mouth_worrie,mouth_worrie,mouth_worrie
MORPH,Upper,Upper,go up
MORPH,Lower,Lower,go down
MORPH,怒り,怒り,anger
MORPH,困る,困る,sadness
MORPH,にこり,にこり,cheerful
MORPH,真面目,真面目,serious
MORPH,eyebrow up L,eyebrow up L,eyebrow up L
MORPH,eyebrow up R,eyebrow up R,eyebrow up R
MORPH,eyebrow down R,eyebrow down R,eyebrow down R
MORPH,eyebrow down L,eyebrow down L,eyebrow down L
MORPH,ウィンク２,ウィンク２,Blink_R
MORPH,ｳｨﾝｸ２右,ｳｨﾝｸ２右,Blink_L
MORPH,ウィンク,ウィンク,Wink_R
MORPH,ウィンク右,ウィンク右,Wink_L
MORPH,eye_blink upper,eye_blink upper,eye_blink upper
MORPH,悲しむ,悲しむ,Wail
MORPH,びっくり,びっくり,surprise
MORPH,じと目,じと目,doubt
MORPH,敵意,敵意,Angry
MORPH,eye_pale,eye_pale,eye_pale
MORPH,じと目2,じと目2,Doubt_2
MORPH,eye_style1,eye_style1,Kire_Eye
MORPH,eyeclose R,eyeclose R,eyeclose R
MORPH,eyeclose L,eyeclose L,eyeclose L
MORPH,まばたき,まばたき,blink
MORPH,笑い,笑い,smile
MORPH,Pony Hairs,Pony Hairs,Pony Hairs
BONE,ParentNode,ParentNode,master
BONE,Center,Center,center
BONE,Groove,Groove,groove
BONE,Waist,Waist,waist
BONE,LowerBody,LowerBody,lower body
BONE,Leg_L,Leg_L,leg_L
BONE,Knee_L,Knee_L,knee_L
BONE,Ankle_L,Ankle_L,ankle_L
BONE,Leg_R,Leg_R,leg_R
BONE,Knee_R,Knee_R,knee_R
BONE,Ankle_R,Ankle_R,ankle_R
BONE,Skirt_0_0,Skirt_0_0,Skirt_0_0
BONE,Skirt_1_0,Skirt_1_0,Skirt_1_0
BONE,Skirt_2_0,Skirt_2_0,Skirt_2_0
BONE,Skirt_3_0,Skirt_3_0,Skirt_3_0
BONE,Skirt_4_0,Skirt_4_0,Skirt_4_0
BONE,Skirt_0_1,Skirt_0_1,Skirt_0_1
BONE,Skirt_1_1,Skirt_1_1,Skirt_1_1
BONE,Skirt_2_1,Skirt_2_1,Skirt_2_1
BONE,Skirt_3_1,Skirt_3_1,Skirt_3_1
BONE,Skirt_4_1,Skirt_4_1,Skirt_4_1
BONE,Skirt_0_2,Skirt_0_2,Skirt_0_2
BONE,Skirt_1_2,Skirt_1_2,Skirt_1_2
BONE,Skirt_2_2,Skirt_2_2,Skirt_2_2
BONE,Skirt_3_2,Skirt_3_2,Skirt_3_2
BONE,Skirt_4_2,Skirt_4_2,Skirt_4_2
BONE,Skirt_0_3,Skirt_0_3,Skirt_0_3
BONE,Skirt_1_3,Skirt_1_3,Skirt_1_3
BONE,Skirt_2_3,Skirt_2_3,Skirt_2_3
BONE,Skirt_3_3,Skirt_3_3,Skirt_3_3
BONE,Skirt_4_3,Skirt_4_3,Skirt_4_3
BONE,Skirt_0_4,Skirt_0_4,Skirt_0_4
BONE,Skirt_1_4,Skirt_1_4,Skirt_1_4
BONE,Skirt_2_4,Skirt_2_4,Skirt_2_4
BONE,Skirt_3_4,Skirt_3_4,Skirt_3_4
BONE,Skirt_4_4,Skirt_4_4,Skirt_4_4
BONE,Skirt_0_5,Skirt_0_5,Skirt_0_5
BONE,Skirt_1_5,Skirt_1_5,Skirt_1_5
BONE,Skirt_2_5,Skirt_2_5,Skirt_2_5
BONE,Skirt_3_5,Skirt_3_5,Skirt_3_5
BONE,Skirt_4_5,Skirt_4_5,Skirt_4_5
BONE,Skirt_0_6,Skirt_0_6,Skirt_0_6
BONE,Skirt_1_6,Skirt_1_6,Skirt_1_6
BONE,Skirt_2_6,Skirt_2_6,Skirt_2_6
BONE,Skirt_3_6,Skirt_3_6,Skirt_3_6
